Week,Thousand Barrels p/Day
"Jun 15, 2007",9591
"Jun 22, 2007",9575
"Jun 29, 2007",9557
"Jul 06, 2007",9663
"Jul 13, 2007",9710
"Jul 20, 2007",9688
"Jul 27, 2007",9662
"Aug 03, 2007",9575
"Aug 10, 2007",9572
"Aug 17, 2007",9762
"Aug 24, 2007",9626
"Aug 31, 2007",9577
"Sep 07, 2007",9393
"Sep 14, 2007",9247
"Sep 21, 2007",9235
"Sep 28, 2007",9120
"Oct 05, 2007",9200
"Oct 12, 2007",9253
"Oct 19, 2007",9373
"Oct 26, 2007",9355
"Nov 02, 2007",9367
"Nov 09, 2007",9187
"Nov 16, 2007",9222
"Nov 23, 2007",9356
"Nov 30, 2007",9266
"Dec 07, 2007",9348
"Dec 14, 2007",9287
"Dec 21, 2007",9446
"Dec 28, 2007",9286
"Jan 04, 2008",9304
"Jan 11, 2008",9116
"Jan 18, 2008",8964
"Jan 25, 2008",8940
"Feb 01, 2008",8916
"Feb 08, 2008",9020
"Feb 15, 2008",9125
"Feb 22, 2008",9045
"Feb 29, 2008",9071
"Mar 07, 2008",9131
"Mar 14, 2008",9071
"Mar 21, 2008",9116
"Mar 28, 2008",9330
"Apr 04, 2008",9286
"Apr 11, 2008",9338
"Apr 18, 2008",9215
"Apr 25, 2008",9189
"May 02, 2008",9311
"May 09, 2008",9343
"May 16, 2008",9359
"May 23, 2008",9373
"May 30, 2008",9129
"Jun 06, 2008",9411
"Jun 13, 2008",9251
"Jun 20, 2008",9334
"Jun 27, 2008",9357
"Jul 04, 2008",9347
"Jul 11, 2008",9344
"Jul 18, 2008",9342
"Jul 25, 2008",9468
"Aug 01, 2008",9484
"Aug 08, 2008",9446
"Aug 15, 2008",9423
"Aug 22, 2008",9411
"Aug 29, 2008",9424
"Sep 05, 2008",9090
"Sep 12, 2008",8907
"Sep 19, 2008",8741
"Sep 26, 2008",8730
"Oct 03, 2008",8691
"Oct 10, 2008",8894
"Oct 17, 2008",9065
"Oct 24, 2008",9057
"Oct 31, 2008",9095
"Nov 07, 2008",9002
"Nov 14, 2008",8962
"Nov 21, 2008",8844
"Nov 28, 2008",8933
"Dec 05, 2008",9015
"Dec 12, 2008",9175
"Dec 19, 2008",8867
"Dec 26, 2008",9106
"Jan 02, 2009",8990
"Jan 09, 2009",8758
"Jan 16, 2009",8641
"Jan 23, 2009",8650
"Jan 30, 2009",9015
"Feb 06, 2009",9006
"Feb 13, 2009",8908
"Feb 20, 2009",9010
"Feb 27, 2009",9204
"Mar 06, 2009",8972
"Mar 13, 2009",8955
"Mar 20, 2009",9100
"Mar 27, 2009",9125
"Apr 03, 2009",9024
"Apr 10, 2009",8944
